epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.94159,1.08885,2.74391,1.48645,0.56607,0.85,0.8784,0.63412,1.65185,1.03238,1.38069,0,0,0
2,6.47163,1.1859,2.7921,1.48712,0.55805,0.85,0.88594,0.63441,1.67267,1.02472,1.38438,7.973e-07,7.973e-07,7.973e-07
3,6.89331,1.09911,2.50882,1.22146,0.56065,0.85,0.85059,0.61535,1.68745,1.01197,1.38931,8.092e-07,8.092e-07,8.092e-07
