epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.1032,1.76849,1.28169,1.1117,0.79943,0.71372,0.79138,0.46133,1.50873,0.82324,1.04229,0.000666018,0.000666018,0.000666018
2,129.663,1.54931,0.81469,1.03169,0.84154,0.75146,0.83258,0.49557,1.45648,0.75345,1.02222,0.000892898,0.000892898,0.000892898
3,186.952,1.49767,0.76902,1.01316,0.85343,0.77016,0.84931,0.51519,1.4194,0.71565,1.00125,0.000679779,0.000679779,0.000679779
