epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.4482,1.76849,1.28169,1.1117,0.79943,0.71372,0.79138,0.46133,1.50873,0.82324,1.04229,0.000666018,0.000666018,0.000666018
2,132.704,1.56331,0.82585,1.03741,0.83344,0.74941,0.82758,0.48735,1.46764,0.77415,1.02376,0.00126672,0.00126672,0.00126672
3,189.887,1.52679,0.79537,1.02557,0.8388,0.7627,0.83599,0.50186,1.44136,0.73894,1.01564,0.00180142,0.00180142,0.00180142
4,246.599,1.50346,0.76636,1.01526,0.85631,0.77252,0.85076,0.51701,1.4169,0.70729,1.00626,0.001703,0.001703,0.001703
5,303.449,1.48042,0.74594,1.00846,0.86007,0.77782,0.8518,0.52146,1.41288,0.69949,1.00121,0.001604,0.001604,0.001604
6,359.849,1.46631,0.73043,1.00225,0.86399,0.77575,0.85348,0.52135,1.41236,0.69261,1.00193,0.001505,0.001505,0.001505
7,416.657,1.45569,0.71948,0.99862,0.87118,0.78612,0.86512,0.53344,1.38644,0.67235,0.99263,0.001406,0.001406,0.001406
8,472.785,1.44164,0.70826,0.99432,0.87141,0.79256,0.86608,0.53324,1.38057,0.66873,0.99243,0.001307,0.001307,0.001307
9,530.39,1.43457,0.70015,0.99069,0.87697,0.79171,0.8695,0.53852,1.37456,0.65638,0.99023,0.001208,0.001208,0.001208
